Station Name,City,State,Latitude,Longitude,Operator,Usage Type,Connector Type,Power (kW)
TML Marina Motors Pvt. Ltd. Kalpetta - Tata Power,Kalpetta,Kerala,11.63735277,76.09468538,Tata Power,Public - Membership Required,CCS (Type 2),30
Taj Wayanad Resort and Spa- Tata Power,Padinjarathara,Kerala,11.65763336,75.96043178,Tata Power,"Private - For Staff, Visitors or Customers",CCS (Type 2),30
Taj Wayanad Resort and Spa- Tata Power,Padinjarathara,Kerala,11.65763336,75.96043178,Tata Power,"Private - For Staff, Visitors or Customers",Type 2 (Tethered Connector) ,7.4
KVR Dream Vehicles Thalassery - Tata Power,Thalassery,Kerala,11.76173425,75.50906838,Tata Power,Public - Membership Required,CCS (Type 2),30
IOCL - MK Petroleum - Tata Power,Thazhe Chovva,Kerala,11.86015018,75.41434122,Tata Power,Public - Membership Required,CCS (Type 2),30
KVR Dream Vehicles Service Centre - Tata Power,Iritty,Kerala,11.99068592,75.65802183,Tata Power,Public - Membership Required,CCS (Type 2),30
KVR Dream Vehicle - Tata Power,Nadal,Kerala,11.83285672,75.4264417,Tata Power,Public - Membership Required,CCS (Type 2),25
KVR Dream Vehicle - Tata Power,Nadal,Kerala,11.83285672,75.4264417,Tata Power,Public - Membership Required,CHAdeMO,25
Tata.ev KVR Dreams Kannur - Tata Power,Kannur ,Kerala,11.86083034,75.41186778,Tata Power,Public - Membership Required,CCS (Type 2),30
KVR Dream Vehicles Service Center - Tata Power,Payyanur,Kerala,12.12000326,75.21755451,Tata Power,Public - Membership Required,CCS (Type 2),30
V-Net Shopping Complex - Tata Power,Payyannur,Kerala,12.17504848,75.19343333,Tata Power,Public - Membership Required,CCS (Type 2),30
Taj Bekkal - Tata Power,Bekkal,Kerala,12.42338328,75.0147548,Tata Power,"Private - For Staff, Visitors or Customers",Type 2 (Tethered Connector) ,7.4
TML KVR Dream Vehicles EVCS - Tata Power,Kasaragod,Kerala,12.51345441,75.02712294,Tata Power,Public - Membership Required,CCS (Type 2),30
IOCL Top Fuels Karanthakkad Charging Station - Tata Power,Kasaragod,Kerala,12.5094079,74.98611114,Tata Power,Public - Membership Required,CCS (Type 2),30
Eco Charge Hub - GO EC,Thiruvananthapuram ,Kerala,8.353208648,77.05379012,GO EC (IN),Public - Membership Required,CCS (Type 2),60
